timestamp,memory_type,delay,results
2025-07-06T21:21:05.572679,global,False,"[{""block_id"": 0, ""transfer_time"": 0.6054167340911756}, {""block_id"": 1, ""transfer_time"": 0.5097404073688494}, {""block_id"": 2, ""transfer_time"": 0.44265336399614696}, {""block_id"": 3, ""transfer_time"": 0.5567917972936213}, {""block_id"": 4, ""transfer_time"": 0.6665403712450451}, {""block_id"": 5, ""transfer_time"": 0.5884531170247438}, {""block_id"": 6, ""transfer_time"": 0.41954496081325116}, {""block_id"": 7, ""transfer_time"": 0.5793401711059993}]"
2025-07-06T21:21:41.999268,global,True,"[{""block_id"": 0, ""transfer_time"": 0.39169178558489814}, {""block_id"": 1, ""transfer_time"": 0.5186212125101763}, {""block_id"": 2, ""transfer_time"": 0.5196407692822913}, {""block_id"": 3, ""transfer_time"": 0.5390043778203213}, {""block_id"": 4, ""transfer_time"": 0.3462658699612937}, {""block_id"": 5, ""transfer_time"": 0.456449965644154}, {""block_id"": 6, ""transfer_time"": 0.5835608211104917}, {""block_id"": 7, ""transfer_time"": 0.4343368984615109}]"
