timestamp,memory_blocks,delay,memory_type
2025-06-12T19:38:33.753111,14,True,shared,"[{'block_id': 0, 'transfer_time': 0.15062627351032598}, {'block_id': 1, 'transfer_time': 0.18344671917286437}, {'block_id': 2, 'transfer_time': 0.18093069751653246}, {'block_id': 3, 'transfer_time': 0.06319328835550442}, {'block_id': 4, 'transfer_time': 0.12759804307390055}, {'block_id': 5, 'transfer_time': 0.06602188500188247}, {'block_id': 6, 'transfer_time': 0.07274119214354849}, {'block_id': 7, 'transfer_time': 0.09963247293771035}, {'block_id': 8, 'transfer_time': 0.16178196843082773}, {'block_id': 9, 'transfer_time': 0.105688590134298}, {'block_id': 10, 'transfer_time': 0.15887222441673926}, {'block_id': 11, 'transfer_time': 0.17938535144551676}, {'block_id': 12, 'transfer_time': 0.11542773048583518}, {'block_id': 13, 'transfer_time': 0.1545408446451011}]"
2025-06-12T19:43:16.058476,22,True,global,"[{'block_id': 0, 'transfer_time': 0.5041076275703169}, {'block_id': 1, 'transfer_time': 0.4141041728413901}, {'block_id': 2, 'transfer_time': 0.4655424754459663}, {'block_id': 3, 'transfer_time': 0.5549444453450959}, {'block_id': 4, 'transfer_time': 0.6144879062457336}, {'block_id': 5, 'transfer_time': 0.49302996973578395}, {'block_id': 6, 'transfer_time': 0.6733850171018874}, {'block_id': 7, 'transfer_time': 0.6367927584938297}, {'block_id': 8, 'transfer_time': 0.5036242917636417}, {'block_id': 9, 'transfer_time': 0.48773298432434586}, {'block_id': 10, 'transfer_time': 0.6136502269973758}, {'block_id': 11, 'transfer_time': 0.6909558872102474}, {'block_id': 12, 'transfer_time': 0.34850558748363836}, {'block_id': 13, 'transfer_time': 0.5202759643793745}, {'block_id': 14, 'transfer_time': 0.3713916144171754}, {'block_id': 15, 'transfer_time': 0.6435475632520697}, {'block_id': 16, 'transfer_time': 0.6509857043120034}, {'block_id': 17, 'transfer_time': 0.6893308070536258}, {'block_id': 18, 'transfer_time': 0.6395137422056993}, {'block_id': 19, 'transfer_time': 0.6116654663299175}, {'block_id': 20, 'transfer_time': 0.36967941279500777}, {'block_id': 21, 'transfer_time': 0.4654936330480663}]"
2025-06-12T19:43:35.964403,5,True,shared,"[{'block_id': 0, 'transfer_time': 0.09986742063699475}, {'block_id': 1, 'transfer_time': 0.06699326381419198}, {'block_id': 2, 'transfer_time': 0.17678414494124567}, {'block_id': 3, 'transfer_time': 0.13016563879620763}, {'block_id': 4, 'transfer_time': 0.07763476861778318}]"
2025-06-12T19:47:33.267600,8,True,shared,"[{'block_id': 0, 'transfer_time': 0.060020362709022404}, {'block_id': 1, 'transfer_time': 0.10808286976979771}, {'block_id': 2, 'transfer_time': 0.17652315821269093}, {'block_id': 3, 'transfer_time': 0.15565484988732697}, {'block_id': 4, 'transfer_time': 0.11270114945940043}, {'block_id': 5, 'transfer_time': 0.14836346357817712}, {'block_id': 6, 'transfer_time': 0.09205123463718033}, {'block_id': 7, 'transfer_time': 0.16820444221481146}]"
2025-06-12T19:49:37.146172,8,True,global,"[{'block_id': 0, 'transfer_time': 0.3035758594268171}, {'block_id': 1, 'transfer_time': 0.5093127778598778}, {'block_id': 2, 'transfer_time': 0.3563053920686107}, {'block_id': 3, 'transfer_time': 0.662280597649722}, {'block_id': 4, 'transfer_time': 0.4241061759702782}, {'block_id': 5, 'transfer_time': 0.6483873692640079}, {'block_id': 6, 'transfer_time': 0.3897303434780489}, {'block_id': 7, 'transfer_time': 0.37295104306090493}]"
2025-06-12T19:52:35.976195,3,True,global,"[{'block_id': 0, 'transfer_time': 0.5961343075644031}, {'block_id': 1, 'transfer_time': 0.334943619481059}, {'block_id': 2, 'transfer_time': 0.4784733152658334}]"
2025-06-12T19:54:32.588133,8,True,global,"[{'block_id': 0, 'transfer_time': 0.6634035647801398}, {'block_id': 1, 'transfer_time': 0.6417182534636796}, {'block_id': 2, 'transfer_time': 0.3183920551874842}, {'block_id': 3, 'transfer_time': 0.42230527146553754}, {'block_id': 4, 'transfer_time': 0.3591137228431114}, {'block_id': 5, 'transfer_time': 0.6360424673554463}, {'block_id': 6, 'transfer_time': 0.6845543596247824}, {'block_id': 7, 'transfer_time': 0.6463473334697122}]"
2025-06-12T19:58:25.053591,8,True,global,"[{'block_id': 0, 'transfer_time': 0.5713840740069543}, {'block_id': 1, 'transfer_time': 0.3685572822484961}, {'block_id': 2, 'transfer_time': 0.5559534695266419}, {'block_id': 3, 'transfer_time': 0.398728864779704}, {'block_id': 4, 'transfer_time': 0.3497101858694287}, {'block_id': 5, 'transfer_time': 0.49082158033423096}, {'block_id': 6, 'transfer_time': 0.3836537743297691}, {'block_id': 7, 'transfer_time': 0.44169799911837404}]"
2025-06-12T20:05:52.320934,8,True,global,"[{'block_id': 0, 'transfer_time': 0.5581666261809384}, {'block_id': 1, 'transfer_time': 0.3529864903491924}, {'block_id': 2, 'transfer_time': 0.3266944884975436}, {'block_id': 3, 'transfer_time': 0.6624485488940943}, {'block_id': 4, 'transfer_time': 0.42551520896120687}, {'block_id': 5, 'transfer_time': 0.6812591346790934}, {'block_id': 6, 'transfer_time': 0.6443218441955585}, {'block_id': 7, 'transfer_time': 0.5480896593602139}]"
2025-06-12T20:06:13.251442,13,True,global,"[{'block_id': 0, 'transfer_time': 0.4444648987403729}, {'block_id': 1, 'transfer_time': 0.4694470595749096}, {'block_id': 2, 'transfer_time': 0.5453915174870823}, {'block_id': 3, 'transfer_time': 0.4443794247808932}, {'block_id': 4, 'transfer_time': 0.32524952801998475}, {'block_id': 5, 'transfer_time': 0.5297302308445057}, {'block_id': 6, 'transfer_time': 0.47362688938744213}, {'block_id': 7, 'transfer_time': 0.4052739220387335}, {'block_id': 8, 'transfer_time': 0.6916624299613183}, {'block_id': 9, 'transfer_time': 0.6701887622223218}, {'block_id': 10, 'transfer_time': 0.6005846611176309}, {'block_id': 11, 'transfer_time': 0.6754238598114966}, {'block_id': 12, 'transfer_time': 0.5384884363591382}]"
2025-06-12T20:06:37.133672,10,True,shared,"[{'block_id': 0, 'transfer_time': 0.13538238764646987}, {'block_id': 1, 'transfer_time': 0.12005327638366516}, {'block_id': 2, 'transfer_time': 0.1335040320962596}, {'block_id': 3, 'transfer_time': 0.1420958640580322}, {'block_id': 4, 'transfer_time': 0.13193489338481304}, {'block_id': 5, 'transfer_time': 0.1951865412488748}, {'block_id': 6, 'transfer_time': 0.10904303293701949}, {'block_id': 7, 'transfer_time': 0.0778650132337173}, {'block_id': 8, 'transfer_time': 0.199964944490993}, {'block_id': 9, 'transfer_time': 0.194961472407515}]"
2025-06-12T20:12:05.549042,9,True,global,"[{'block_id': 0, 'transfer_time': 0.6438580332207915}, {'block_id': 1, 'transfer_time': 0.6079392650434506}, {'block_id': 2, 'transfer_time': 0.6093470833624176}, {'block_id': 3, 'transfer_time': 0.5318238699096421}, {'block_id': 4, 'transfer_time': 0.5240040677610964}, {'block_id': 5, 'transfer_time': 0.3992371346368295}, {'block_id': 6, 'transfer_time': 0.6431249896332711}, {'block_id': 7, 'transfer_time': 0.6882136648330853}, {'block_id': 8, 'transfer_time': 0.625223544564162}]"
2025-06-12T20:12:30.202935,17,True,global,"[{'block_id': 0, 'transfer_time': 0.6621105442336181}, {'block_id': 1, 'transfer_time': 0.5088255579583718}, {'block_id': 2, 'transfer_time': 0.4317817772752803}, {'block_id': 3, 'transfer_time': 0.6090842761817086}, {'block_id': 4, 'transfer_time': 0.4401220911200366}, {'block_id': 5, 'transfer_time': 0.5276536103593861}, {'block_id': 6, 'transfer_time': 0.6674248188946192}, {'block_id': 7, 'transfer_time': 0.6182906935762762}, {'block_id': 8, 'transfer_time': 0.6284140677822421}, {'block_id': 9, 'transfer_time': 0.6066120755429721}, {'block_id': 10, 'transfer_time': 0.6738626420981455}, {'block_id': 11, 'transfer_time': 0.5534757635638605}, {'block_id': 12, 'transfer_time': 0.4128536808836779}, {'block_id': 13, 'transfer_time': 0.5924781287446992}, {'block_id': 14, 'transfer_time': 0.539410347225182}, {'block_id': 15, 'transfer_time': 0.6996955274908022}, {'block_id': 16, 'transfer_time': 0.589349196055617}]"
2025-06-12T20:12:52.417421,3,False,global,"[{'block_id': 0, 'transfer_time': 0.6015844331736713}, {'block_id': 1, 'transfer_time': 0.47250079384093424}, {'block_id': 2, 'transfer_time': 0.6111302271074877}]"
2025-06-12T20:12:53.510964,3,False,global,"[{'block_id': 0, 'transfer_time': 0.6283180976445306}, {'block_id': 1, 'transfer_time': 0.6426196584093037}, {'block_id': 2, 'transfer_time': 0.6333383476764769}]"
2025-06-12T20:13:07.454739,7,False,global,"[{'block_id': 0, 'transfer_time': 0.5411925996413613}, {'block_id': 1, 'transfer_time': 0.39534361309761096}, {'block_id': 2, 'transfer_time': 0.5151116255536362}, {'block_id': 3, 'transfer_time': 0.4208331730909558}, {'block_id': 4, 'transfer_time': 0.50296366338684}, {'block_id': 5, 'transfer_time': 0.38605476832109675}, {'block_id': 6, 'transfer_time': 0.43535197248967067}]"
